,V1 SMA50/200 raw,V1 SMA50/200 ADJ,V2 Donchian raw,V2 Donchian ADJ,V3 vol-adj mom raw,V3 vol-adj mom ADJ,EW buy&hold ADJ
2000-01-03,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,
2000-01-04,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.002361511790356447
2000-01-05,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.019999451594025424
2000-01-06,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.014971069840498414
2000-01-07,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.023322110083369336
2000-01-10,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.02956979405261388
2000-01-11,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.0019111654737336385
2000-01-12,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.009546667889297072
2000-01-13,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.003578295279359784
2000-01-14,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.050827144046070326
2000-01-18,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.028216191156116326
2000-01-19,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.007991728003873527
2000-01-20,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.04048977131563399
2000-01-21,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.007358473434269947
2000-01-24,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.006079416323758562
2000-01-25,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.008274106535405317
2000-01-26,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.020165475049086095
2000-01-27,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.004991994119299143
2000-01-28,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.0006569980022586401
2000-01-31,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.03160180151004629
2000-02-01,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.0047349335424887
2000-02-02,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.005158333624773397
2000-02-03,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.006020463947446635
2000-02-04,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.0006582222769892684
2000-02-07,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.010844504556580332
2000-02-08,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.028416072325092318
2000-02-09,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.008046137911550028
2000-02-10,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.009533743189576154
2000-02-11,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.0002442091335080158
2000-02-14,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.03514208670139315
2000-02-15,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.007403487639832378
2000-02-16,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.008249672966047134
2000-02-17,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.0035957643390851883
2000-02-18,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.010182323144869294
2000-02-22,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,-0.010762147733221112
2000-02-23,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.00024087302268497527,0.003660394848938913
