trig,th,fam,exit,n,bps,t,win,y24,y25,y26,all_years_pos
cum,0.003,Lf,hold1,354,-7.125176063394678,-1.7421006674654091,0.4915254237288136,-5.511755823825277,-3.6247272130147423,-13.940584671468121,False
cum,0.003,Lf,hold2,354,-5.088759274323699,-0.9965313982699826,0.5028248587570622,-6.730059509135156,-1.147015252974406,-8.959440406774075,False
cum,0.003,Lf,hold4,354,-6.1475548278655,-0.9864224011438502,0.5028248587570622,-6.152928208394154,-2.191182473009896,-11.838820300276053,False
cum,0.003,Lf,holdEOD,354,-4.035014143489256,-0.5381529316021362,0.5338983050847458,-2.029762002348775,-3.796680303697934,-6.583992228043287,False
cum,0.003,Lf,trail05,354,-6.398518673622556,-1.1271936068871493,0.4604519774011299,-6.1702738098042955,-1.9502069883894457,-13.055156850558324,False
cum,0.003,Lf,trail10,354,-3.8750928221189733,-0.6420784501562151,0.5084745762711864,-3.3606006538869875,-1.6113836721371284,-7.700775383148015,False
cum,0.003,Sf,hold1,330,-6.166406879362994,-1.6480128843009578,0.47575757575757577,-4.540039132615373,1.1398189627538085,-20.782496325034895,False
cum,0.003,Sf,hold2,330,-7.519068714000895,-1.4943350027182944,0.46060606060606063,-2.7296933304207402,-2.298333731388013,-22.74047650659187,False
cum,0.003,Sf,hold4,330,-8.263893072486555,-1.257248289484671,0.49393939393939396,-1.392979985975487,-2.3093892304741117,-27.47961442888823,False
cum,0.003,Sf,holdEOD,330,-11.781159019529111,-1.6898494620923825,0.45454545454545453,-7.475249537125023,-5.997540268110681,-27.32682791340986,False
cum,0.003,Sf,trail05,330,-15.77696733412849,-3.346000692222767,0.39090909090909093,-11.456668390463042,-4.1551727109296825,-41.30920554344193,False
cum,0.003,Sf,trail10,330,-15.526266215019442,-3.0111417173262938,0.42727272727272725,-8.52021504911077,-4.548854729359202,-43.495670287099564,False
cum,0.003,Lr,hold1,330,6.166406879362994,1.6480128843009578,0.5212121212121212,4.540039132615373,-1.1398189627538085,20.782496325034895,False
