ticker,date,label,pre30_5,pre5_1,ann,post
HRTX,2017-01-04,pos,-0.30134245164573814,0.0225661793651728,-0.11273279816227566,0.03157765693821535
TOVX,2017-01-05,pos,-0.03937548256433132,0.08453348175398023,-0.004771977837089381,-0.0866619917122593
VRTX,2017-01-09,pos,-0.06943924331092788,0.006854562886351445,0.006439712913402396,0.05263147851482408
NERV,2017-01-20,pos,-0.16619120140817145,-0.07318710490131153,-0.0040936799726161155,-0.14242571847893437
VRTX,2017-01-25,pos,0.032211595830929696,0.025020839397218886,0.03384634196868497,-0.06485890156019192
RIGL,2017-01-30,neg,-0.2335379794137502,-0.07569566640215797,0.026202540939734842,0.0850772625163625
AMGN,2017-02-02,pos,0.012964286896739452,0.006274521539358702,0.03247302488509085,0.0015324180406555143
MYGN,2017-02-07,pos,-0.1713316722863265,-0.05841655601472118,0.06407333862395292,0.07802359063822006
VXRT,2017-02-13,neg,-0.23367417133866164,0.013397024617389341,-0.5350972192198462,-0.07091628021764929
ARDX,2017-02-15,pos,-0.3445622949012206,-0.009297928295019187,0.12818889592308436,0.07189179913609811
IRWD,2017-02-21,pos,-0.008130373593854046,0.00731138891370442,0.008313893177557485,0.004893682592290727
PCRX,2017-03-01,pos,0.041303765670015036,-0.022410109641888276,0.1170628233781712,-0.024998441401190785
SUPN,2017-03-01,pos,-0.04202748031085779,-0.011452616058566623,0.05851246574040836,0.12746627928058363
TOVX,2017-03-02,pos,-0.17161842096554292,0.015463437660137913,-0.0496126381051063,-0.14225607076831004
TGTX,2017-03-06,pos,0.20542556005695123,-0.10161348288656757,0.7366426034653397,0.03195293048060277
CRBP,2017-03-09,pos,0.1621950773419174,-0.024434325815303914,0.025012228059908992,-0.16927301786829574
TGTX,2017-03-10,pos,-0.050251748247203576,0.7964843457867583,0.023938620542783173,-0.08353349813408872
OCUL,2017-03-10,pos,0.09950246202481239,0.02370506336364686,-0.025325225250616867,0.01961567745574433
VRTX,2017-03-29,pos,0.004553220996634799,-0.01704190530879046,0.1802652455549998,0.06259287530094504
MTNB,2017-04-03,pos,-0.21090227942417883,0.08864913371805994,0.03948398672651088,-0.05096024975382285
LLY,2017-04-25,pos,0.01394003690931811,0.007849778001977725,-0.049831846830524995,-0.01809960046119219
VSTM,2017-05-02,pos,0.18296532658519116,0.16616915993436487,0.00915486158391321,0.006679012879868829
MYGN,2017-05-02,pos,-0.03231316768217507,-0.002809074715282023,0.20920298746901,-0.06033936189396716
IRWD,2017-05-08,pos,-0.1025491905591478,0.010592634226387343,0.06232790022900847,0.04807299150205813
COLL,2017-05-10,pos,-0.25705937653383826,-0.05907840157862543,0.1211323349830562,0.04733051535731425
TOVX,2017-05-15,pos,-0.3156959775041033,0.09685593579506602,0.046850477181481054,0.10032620249933544
VCEL,2017-05-15,pos,-0.05956228243713124,-0.006698118659079988,0.009453125215516334,-0.038167111998363534
NERV,2017-05-15,pos,-0.17266578141207845,0.07223399401369335,0.05529953166800894,0.15762463547175543
IONS,2017-05-18,pos,0.13245989645365785,-0.03241426478835585,0.0007171834263570709,0.0951928139034619
ONCSQ,2017-06-01,pos,-0.19315014393123509,0.09735980637383612,0.014516533143471122,-0.08824319825183036
VCEL,2017-06-02,pos,0.04987736267692011,0.07157666682746044,-0.056224658763053936,0.04633303518191756
TGTX,2017-06-05,pos,0.14071512125652674,0.10517359575978924,-0.08442079937950364,-0.3193966930147596
ELTP,2017-06-14,pos,0.1807064690254938,-0.06864858940394503,0.007241284755377997,-0.48235524066427415
LCTX,2017-06-14,pos,-0.0223793552445537,0.05629732669744958,-0.10869416330022841,-0.0574030517512395
TGTX,2017-06-16,pos,0.1343350889508419,-0.09357417894753661,-0.041902194418593997,-0.036431707399519286
VSTM,2017-07-11,pos,-0.19102050553909367,0.46505355813945837,0.1510270347978362,-0.033359540400347054
NKTR,2017-07-18,pos,-0.07040348413429154,-0.020436314838620184,0.037103712051135496,-0.07162508868046658
LLY,2017-07-25,pos,-0.06117034139336042,-0.03179160295761996,-0.023008949664454548,0.007470968822820723
ADMA,2017-07-28,neg,0.003873297773739015,0.04492663644232642,-0.04359319269589634,-0.11861655142398186
PFE,2017-08-01,pos,-0.11459202212494946,0.03254773378937248,0.015202169577364089,-0.02576933547601934
LCTX,2017-08-02,pos,-0.13293427157122506,-0.03981746412691245,0.06555583601787596,-0.052676676092236696
REGN,2017-08-03,pos,-0.02286551227311051,-0.04413838668226866,-0.030561004816858528,-0.010840130762498568
NBIX,2017-08-03,neg,0.017973668652992103,0.014466008810749553,0.08336862031993242,-0.012810626098553879
IRWD,2017-08-03,pos,-0.16021847773523,0.08454921492234968,-0.15091273640223513,-0.039227900430690354
ARDX,2017-08-09,pos,-0.011654535385679843,-0.1455908926807623,0.1508756348818685,0.028098366377076633
VCEL,2017-08-10,pos,-0.07307023286400316,0.10305272800638621,0.048461391453300084,0.13917178894987714
MTNB,2017-08-10,pos,-0.47428751379722556,0.18857485776129845,-0.010379080520389827,-0.07849644001907663
XBIO,2017-08-15,neg,0.04315121698268509,-0.012010831147719614,-0.1012973252438849,-0.05336037155902673
RARE,2017-08-24,neg,-0.04396925279748398,-0.1528907480754289,-0.0034334904578958714,-0.061242202225728626
CHRS,2017-08-29,pos,0.05533577568714243,-0.006798673080479656,-0.0164412704775474,-0.10449540616846953
INSM,2017-09-05,pos,-0.31405904232754356,-0.07500474669994528,0.8755858862107728,0.015085051114615666
KURA,2017-09-07,pos,-0.27461824949168245,-0.06046435800863903,0.5341185061570681,0.11606924026644805
VSTM,2017-09-19,pos,0.29616144283103374,0.012371573985136664,-0.04970428988269315,-0.23415447054065064
INVA,2017-09-20,pos,0.02469998757620573,-0.041550809172503644,-0.012178028920315498,-0.008877830215258342
LCTX,2017-09-26,pos,-0.018935387951603322,-0.046313778613933265,0.05455027057481976,-0.14297995863544477
VSTM,2017-10-17,pos,0.14394359655001443,-0.09983473240196972,-0.06851638069787702,-0.10194450381257214
CRBP,2017-10-19,pos,-0.12830648123228272,0.012217374546182214,0.1121030373890255,-0.04771104737134113
AMGN,2017-10-25,pos,-0.05740030334075996,-0.0010264238034505269,-0.00017131779905454891,-0.029835028260348118
ABBV,2017-10-27,pos,0.051999391664149464,-0.024961522987780427,-0.011025237559977974,0.08164269307066352
PFE,2017-10-31,pos,0.025420396307048954,-0.036497930132778134,0.021625948284374363,0.05366763200338465
EXEL,2017-11-01,pos,-0.06563995156829261,-0.05266501458419137,0.025918089294179936,0.06783172337292465
INSM,2017-11-02,pos,-0.03959255711243692,0.006029057674604488,0.06069558344137249,0.05760814070226905
KURA,2017-11-07,pos,0.14367874617682608,-0.023216623974397166,-0.04470522904522589,0.0613951899509555
ALNY,2017-11-07,pos,0.04745983028492784,0.052181917950012036,0.03556229429529001,-0.02046515917683589
AXSM,2017-11-08,pos,-0.1280573594527581,0.0007866671730587527,-0.02750548560723476,0.007747907548298016
CRBP,2017-11-08,pos,0.02411974356831692,-0.02004740006639505,0.0433849241204225,0.0696233112663851
MCRB,2017-11-08,pos,-0.5299271663689673,-0.03043170904302528,0.05450888909644114,0.01673450368776841
LCTX,2017-11-09,pos,-0.1755505481358982,-0.060735004064708,0.1388333407754514,-0.06603374015941244
NKTR,2017-11-24,neg,0.7365472776469737,0.09847217783950857,0.049671070881137425,0.06851899700726971
IMUX,2017-12-04,pos,-0.02029995889617542,-0.1278226691229758,0.05854912899229703,0.17636291103347634
AMPE,2017-12-28,pos,0.8261612020631501,0.19462923158650636,0.12899899407358895,-0.5369103231286481
INSM,2018-01-03,pos,-0.028027660683415778,0.0073039337139331195,-0.06519791382846707,-0.21340179311979623
KALA,2018-01-05,pos,-0.09534818113209642,-0.10525256901403512,-0.21800311847274134,-0.027580629116171984
AMPE,2018-01-08,pos,1.045180698572068,-0.3710995046569803,0.015462556754116008,-0.06747235187458855
ELTP,2018-01-10,pos,0.1474116896892923,0.10531848776155561,0.22247815366084644,-0.12777935091594372
EVFM,2018-01-17,pos,0.3294468232110557,-0.05572179658844334,0.08131325334750716,-0.5908379690655661
ABBV,2018-01-26,pos,0.019957796489259216,-0.036066882564090186,0.10481675704378457,0.03406418783336562
VRTX,2018-01-31,pos,0.012188538292915219,-0.012736773425743309,0.05305375480276986,0.002404612082790969
ELTP,2018-01-31,pos,0.05172690288711479,0.15976658049773773,-0.06498727916201075,-0.13764626461291085
LLY,2018-01-31,pos,-0.17470626294365665,0.013723741290021074,-0.028631056712684178,-0.022325910556350692
MRK,2018-02-02,neg,-0.06329665266873441,-0.008582802965756198,-0.0015951294943317151,-0.09158929299094787
REGN,2018-02-08,pos,-0.19828881997509118,-0.009193135833784893,0.05460219379475362,-0.0871951522944654
LCTX,2018-02-22,pos,-0.10508372555563783,0.0027875562896932937,0.02094672398484687,-0.01286007050483673
EXEL,2018-02-26,pos,-0.07024566909487184,0.010488794010441449,-0.07995179252223483,-0.13814760808261717
RARE,2018-03-07,pos,-0.07206636914499853,0.060858469939082394,-0.009281786159697436,0.06527389418290808
AXSM,2018-03-07,pos,-0.15698650968336314,0.01209319218190752,0.01344460952073312,-0.05220719726965928
ACRS,2018-03-12,pos,-0.17943553874513363,0.023208964420088574,-0.06375824670859886,-0.05468320237053703
ARMP,2018-03-14,pos,0.16953756588978797,0.007656102001608822,0.000815842267178013,-0.24517316143945767
LCTX,2018-03-15,pos,-0.08781905629674658,0.01633431355216386,0.02719244147862332,-0.070180988864193
HRTX,2018-03-19,pos,0.013640183546751672,-0.03227407179491815,0.22858461615045744,0.16065116294233794
ZVRA,2018-03-29,pos,0.20704483462702772,0.023513488879927102,-0.06763163170842912,-0.2928945246490793
RIGL,2018-04-20,neg,-0.06510701701957844,0.031606288472961985,-0.10727413079463766,0.05955743474860231
LLY,2018-04-24,pos,0.060106508927911584,0.03765656313970833,0.03126254001397566,-0.045566050095213306
MRK,2018-05-01,pos,0.15554567450469303,-0.026623672882710725,-0.032420030727183136,-0.03256167015913958
REGN,2018-05-03,pos,0.017395952727446762,-0.08536911802119462,-0.01573498811642704,-0.04866966992350363
RARE,2018-05-07,pos,0.02683992919367384,0.06504363542788116,0.05080799400586189,0.13609912862246443
AXSM,2018-05-08,pos,0.2516975673760402,-0.0066890144560538545,0.00023246149187095,-0.027874260350739144
ZVRA,2018-05-10,pos,-0.41694413622088256,-0.05402089586700143,0.1351723025046585,0.09980504885571762
HRTX,2018-05-10,pos,0.14420398219078567,-0.07014417929756034,-0.008944385125741139,-0.057654533059679824
CRBP,2018-05-10,pos,0.06817209441475658,-0.012419957578186036,-0.1764974981774996,-0.0004836433138244445
LCTX,2018-05-10,pos,-0.07644611434818804,-0.057835956653527476,-0.011259691446303677,-0.022583515732963244
ARMP,2018-05-15,pos,-0.09395296338744386,-0.025379146390748453,-0.03402246331208936,0.10590263164105362
VSTM,2018-06-15,pos,0.16122106035917527,-0.031069337830869515,0.4310863095407811,-0.05540556630767579
HRTX,2018-06-21,pos,-0.09937511949242683,-0.034793755741238996,0.3184866070026988,-0.0690525923408174
HRTX,2018-06-25,pos,-0.09421530152800361,0.31602222096626154,0.004467330267815317,-0.09135475907384416
IPIX,2018-06-29,pos,-0.4476463128918471,-0.00046737563148213646,0.4341621272955296,-0.11456823995817544
SLS,2018-07-18,pos,-0.9063707537137882,-0.36533831374879,-0.05765659528845468,-0.41144044654480716
BIIB,2018-07-24,pos,0.11558192162384806,0.01423013616108193,0.09046578810814854,-0.08479136231121132
ACET,2018-07-25,pos,-0.2024779843716198,0.0648318228829794,0.3600183274591844,-0.17730971716729194
ACET,2018-07-30,pos,-0.20983892263293047,0.5303366539882406,0.05138982472620501,-0.399021750586793
